function,dim,strategy1,strategy2,statistic,p_value,significant
rosenbrock,5,ArithmeticMeanCenterStrategy,WeightedFitnessCenterStrategy,83.0,0.41048457705231434,NO
rosenbrock,5,ArithmeticMeanCenterStrategy,WeightedRankCenterStrategy,90.0,0.575319768979316,NO
rosenbrock,5,ArithmeticMeanCenterStrategy,TrimmedMeanCenterStrategy,89.0,0.8091660797772467,NO
rosenbrock,5,MedianCenterStrategy,WeightedFitnessCenterStrategy,50.0,0.039989471435546875,YES
rosenbrock,5,MedianCenterStrategy,WeightedRankCenterStrategy,32.0,0.00485992431640625,YES
rosenbrock,5,MedianCenterStrategy,TrimmedMeanCenterStrategy,20.0,0.0007076263427734375,YES
rosenbrock,5,WeightedFitnessCenterStrategy,WeightedRankCenterStrategy,61.0,0.09942071022585768,NO
rosenbrock,5,WeightedFitnessCenterStrategy,TrimmedMeanCenterStrategy,84.0,0.6573260962988979,NO
rosenbrock,5,WeightedRankCenterStrategy,TrimmedMeanCenterStrategy,78.0,0.31299894629002145,NO
rosenbrock,10,ArithmeticMeanCenterStrategy,MedianCenterStrategy,0.0,1.9073486328125e-06,YES
rosenbrock,10,ArithmeticMeanCenterStrategy,WeightedFitnessCenterStrategy,83.0,0.4114239954629041,NO
rosenbrock,10,ArithmeticMeanCenterStrategy,WeightedRankCenterStrategy,91.0,0.601181013818558,NO
rosenbrock,10,ArithmeticMeanCenterStrategy,TrimmedMeanCenterStrategy,86.0,0.47808713284033744,NO
rosenbrock,10,MedianCenterStrategy,WeightedFitnessCenterStrategy,0.0,1.9073486328125e-06,YES
rosenbrock,10,MedianCenterStrategy,WeightedRankCenterStrategy,0.0,1.9073486328125e-06,YES
rosenbrock,10,MedianCenterStrategy,TrimmedMeanCenterStrategy,0.0,1.9073486328125e-06,YES
rosenbrock,10,WeightedFitnessCenterStrategy,WeightedRankCenterStrategy,68.5,0.1729577972681211,NO
rosenbrock,10,WeightedFitnessCenterStrategy,TrimmedMeanCenterStrategy,102.0,0.9272785186767578,NO
rosenbrock,10,WeightedRankCenterStrategy,TrimmedMeanCenterStrategy,56.0,0.069580078125,NO
rosenbrock,20,ArithmeticMeanCenterStrategy,MedianCenterStrategy,0.0,1.9073486328125e-06,YES
rosenbrock,20,ArithmeticMeanCenterStrategy,WeightedFitnessCenterStrategy,93.0,0.6742229461669922,NO
rosenbrock,20,ArithmeticMeanCenterStrategy,WeightedRankCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
rosenbrock,20,ArithmeticMeanCenterStrategy,TrimmedMeanCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
rosenbrock,20,MedianCenterStrategy,WeightedFitnessCenterStrategy,0.0,1.9073486328125e-06,YES
rosenbrock,20,MedianCenterStrategy,WeightedRankCenterStrategy,0.0,1.9073486328125e-06,YES
rosenbrock,20,MedianCenterStrategy,TrimmedMeanCenterStrategy,0.0,1.9073486328125e-06,YES
rosenbrock,20,WeightedFitnessCenterStrategy,WeightedRankCenterStrategy,0.0,1.9073486328125e-06,YES
rosenbrock,20,WeightedFitnessCenterStrategy,TrimmedMeanCenterStrategy,9.0,6.29425048828125e-05,YES
rosenbrock,20,WeightedRankCenterStrategy,TrimmedMeanCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
ellipsoid,2,ArithmeticMeanCenterStrategy,MedianCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
ellipsoid,2,ArithmeticMeanCenterStrategy,WeightedFitnessCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
ellipsoid,2,ArithmeticMeanCenterStrategy,WeightedRankCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
ellipsoid,2,ArithmeticMeanCenterStrategy,TrimmedMeanCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
ellipsoid,2,MedianCenterStrategy,WeightedFitnessCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
