function,strategy,dim,seed,fx
sphere,TrimmedMeanCenterStrategy,10,1232,1.2409988307553034e-22
sphere,TrimmedMeanCenterStrategy,10,10023,1.0868050046644376e-22
sphere,TrimmedMeanCenterStrategy,10,12,1.8683866493928078e-22
sphere,TrimmedMeanCenterStrategy,10,675,1.8320851767983966e-22
sphere,TrimmedMeanCenterStrategy,10,55,6.469218534773307e-23
sphere,TrimmedMeanCenterStrategy,10,43,2.173984014476597e-22
sphere,TrimmedMeanCenterStrategy,10,34534,7.161073678826214e-23
sphere,TrimmedMeanCenterStrategy,10,22222,3.87376453857551e-22
sphere,ArithmeticMeanCenterStrategy,20,42,1.12164280405939e-21
sphere,ArithmeticMeanCenterStrategy,20,123,9.455164399938153e-22
sphere,ArithmeticMeanCenterStrategy,20,7,1.4633895996554927e-21
sphere,ArithmeticMeanCenterStrategy,20,2024,1.4367666719442975e-21
sphere,ArithmeticMeanCenterStrategy,20,999,7.071435497605393e-22
sphere,ArithmeticMeanCenterStrategy,20,1,3.1553609277332442e-21
sphere,ArithmeticMeanCenterStrategy,20,314,1.5353803899396635e-21
sphere,ArithmeticMeanCenterStrategy,20,2718,9.48213302288336e-22
sphere,ArithmeticMeanCenterStrategy,20,2023,1.7025362496862845e-21
sphere,ArithmeticMeanCenterStrategy,20,86,1.989300105063663e-21
sphere,ArithmeticMeanCenterStrategy,20,1000,1.2855414087638531e-21
sphere,ArithmeticMeanCenterStrategy,20,2000,8.077095033081529e-22
sphere,ArithmeticMeanCenterStrategy,20,1232,2.1928089321977325e-21
sphere,ArithmeticMeanCenterStrategy,20,10023,1.951885990708338e-21
sphere,ArithmeticMeanCenterStrategy,20,12,1.596715383505999e-21
sphere,ArithmeticMeanCenterStrategy,20,675,2.5923908940147087e-21
sphere,ArithmeticMeanCenterStrategy,20,55,2.485086069935947e-21
sphere,ArithmeticMeanCenterStrategy,20,43,1.1803636436274757e-21
sphere,ArithmeticMeanCenterStrategy,20,34534,1.23553473355624e-21
sphere,ArithmeticMeanCenterStrategy,20,22222,2.15601925899561e-21
sphere,MedianCenterStrategy,20,42,1.7567331578349322e-16
sphere,MedianCenterStrategy,20,123,1.9991375145881954e-18
sphere,MedianCenterStrategy,20,7,1.370523000073142e-20
sphere,MedianCenterStrategy,20,2024,1.787629577123936e-18
sphere,MedianCenterStrategy,20,999,1.4695375527823582e-20
sphere,MedianCenterStrategy,20,1,1.3678398750173542e-20
sphere,MedianCenterStrategy,20,314,6.939303712815829e-21
sphere,MedianCenterStrategy,20,2718,4.8632197385685636e-17
sphere,MedianCenterStrategy,20,2023,1.3316822811510477e-20
sphere,MedianCenterStrategy,20,86,1.0359903016728095e-20
sphere,MedianCenterStrategy,20,1000,3.618096459912855e-18
sphere,MedianCenterStrategy,20,2000,1.0700043902864465e-15
sphere,MedianCenterStrategy,20,1232,2.0963865491558813e-15
sphere,MedianCenterStrategy,20,10023,1.576643829048815e-20
sphere,MedianCenterStrategy,20,12,4.423376794918123e-19
sphere,MedianCenterStrategy,20,675,5.2347400391750126e-21
sphere,MedianCenterStrategy,20,55,1.9580739007558828e-20
sphere,MedianCenterStrategy,20,43,1.8892756257975874e-19
sphere,MedianCenterStrategy,20,34534,1.2638196536971337e-15
sphere,MedianCenterStrategy,20,22222,2.2531788588687234e-17
sphere,WeightedFitnessCenterStrategy,20,42,1.725030980592353e-21
sphere,WeightedFitnessCenterStrategy,20,123,1.3123057784626415e-21
sphere,WeightedFitnessCenterStrategy,20,7,1.4722436970713033e-21
sphere,WeightedFitnessCenterStrategy,20,2024,1.8994979848679484e-21
sphere,WeightedFitnessCenterStrategy,20,999,1.278927000279204e-21
sphere,WeightedFitnessCenterStrategy,20,1,1.0264731793523555e-21
sphere,WeightedFitnessCenterStrategy,20,314,9.960470626859526e-22
sphere,WeightedFitnessCenterStrategy,20,2718,2.1044668403136383e-21
sphere,WeightedFitnessCenterStrategy,20,2023,9.59346557529402e-22
sphere,WeightedFitnessCenterStrategy,20,86,1.5042014386994896e-21
sphere,WeightedFitnessCenterStrategy,20,1000,1.4376902544326194e-21
sphere,WeightedFitnessCenterStrategy,20,2000,1.3170057379508077e-21
sphere,WeightedFitnessCenterStrategy,20,1232,2.07330255018664e-21
sphere,WeightedFitnessCenterStrategy,20,10023,2.0594425648297e-21
sphere,WeightedFitnessCenterStrategy,20,12,1.3829660265754242e-21
sphere,WeightedFitnessCenterStrategy,20,675,1.9115368709524256e-21
sphere,WeightedFitnessCenterStrategy,20,55,3.400596242299492e-21
sphere,WeightedFitnessCenterStrategy,20,43,1.9080912255846676e-21
sphere,WeightedFitnessCenterStrategy,20,34534,1.792720324903417e-21
sphere,WeightedFitnessCenterStrategy,20,22222,2.185298248624966e-21
sphere,WeightedRankCenterStrategy,20,42,6.782236563880248e-22
sphere,WeightedRankCenterStrategy,20,123,1.5002670288117723e-21
sphere,WeightedRankCenterStrategy,20,7,9.774794044491973e-22
sphere,WeightedRankCenterStrategy,20,2024,1.211448565564098e-21
sphere,WeightedRankCenterStrategy,20,999,7.185882128639528e-22
sphere,WeightedRankCenterStrategy,20,1,1.5568677209276484e-21
sphere,WeightedRankCenterStrategy,20,314,5.932649284344235e-22
sphere,WeightedRankCenterStrategy,20,2718,1.270298881879466e-21
sphere,WeightedRankCenterStrategy,20,2023,9.554985802169819e-22
sphere,WeightedRankCenterStrategy,20,86,1.16813028777879e-21
sphere,WeightedRankCenterStrategy,20,1000,1.2697548094074648e-21
sphere,WeightedRankCenterStrategy,20,2000,8.476456181306202e-22
sphere,WeightedRankCenterStrategy,20,1232,7.960381348300714e-22
sphere,WeightedRankCenterStrategy,20,10023,1.0276674813513144e-21
sphere,WeightedRankCenterStrategy,20,12,1.7000046101170273e-21
sphere,WeightedRankCenterStrategy,20,675,1.3567005918353305e-21
sphere,WeightedRankCenterStrategy,20,55,2.361612294565848e-21
sphere,WeightedRankCenterStrategy,20,43,2.331399199034129e-21
sphere,WeightedRankCenterStrategy,20,34534,1.1768360681536663e-21
sphere,WeightedRankCenterStrategy,20,22222,1.3576586900744062e-21
sphere,TrimmedMeanCenterStrategy,20,42,2.139572302812334e-21
sphere,TrimmedMeanCenterStrategy,20,123,1.5904076843526783e-21
sphere,TrimmedMeanCenterStrategy,20,7,1.6104449441716268e-21
sphere,TrimmedMeanCenterStrategy,20,2024,1.4845233881369556e-21
sphere,TrimmedMeanCenterStrategy,20,999,1.5330902635114726e-21
sphere,TrimmedMeanCenterStrategy,20,1,1.4648443243400933e-21
sphere,TrimmedMeanCenterStrategy,20,314,2.475778613024364e-21
sphere,TrimmedMeanCenterStrategy,20,2718,1.9419167677582232e-21
sphere,TrimmedMeanCenterStrategy,20,2023,1.2257102184654182e-21
sphere,TrimmedMeanCenterStrategy,20,86,2.9372832124835287e-21
sphere,TrimmedMeanCenterStrategy,20,1000,3.517362587639152e-21
sphere,TrimmedMeanCenterStrategy,20,2000,1.9837238681645124e-21
sphere,TrimmedMeanCenterStrategy,20,1232,1.5639547136446337e-21
sphere,TrimmedMeanCenterStrategy,20,10023,2.5525451894277217e-21
sphere,TrimmedMeanCenterStrategy,20,12,2.111210331276529e-21
sphere,TrimmedMeanCenterStrategy,20,675,2.4026825147607212e-21
sphere,TrimmedMeanCenterStrategy,20,55,2.3275619593139367e-21
sphere,TrimmedMeanCenterStrategy,20,43,2.525616706946347e-21
sphere,TrimmedMeanCenterStrategy,20,34534,3.381501942783971e-21
sphere,TrimmedMeanCenterStrategy,20,22222,2.7063593418653638e-21
rastrigin,ArithmeticMeanCenterStrategy,2,42,0.9949590570932898
